Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Tokens
Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,52.16,1507
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol of the United States,Chief of Protocol,0.0,0.6666666666666666,79.32,1518

Summary,,,,,,
Exact Match,,,0.5000,,,
F1 Score,,,0.8333,,,
Latency/Q (s),,,65.74,,,
Total Latency (s),,,131.48,,,
Tokens/Q,,,1512,,,
Examples,,,2,,,
