Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,75.45,47349,32257,3106
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,United States,Chief of Protocol,0.0,0.0,121.50,58360,33715,2951
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,1.0,1.0,79.81,52085,36185,3970
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,74.89,46500,31981,2938
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",New York City,"Greenwich Village, New York City",0.0,0.7499999999999999,85.81,50956,33355,2759

Summary,,,,,,,,
Exact Match,,,0.6000,,,,,
F1 Score,,,0.7500,,,,,
Latency/Q (s),,,87.49,,,,,
Total Latency (s),,,437.46,,,,,
Tokens/Q,,,51050,,,51050,33499,3145
Examples,,,5,,,,,
