Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,72.24,38555,24115,2871
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol,1.0,1.0,43.63,32617,25015,2474
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,1.0,1.0,72.45,41448,26948,3839
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,44.56,21869,13201,2017
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",New York City,"Greenwich Village, New York City",0.0,0.7499999999999999,46.09,33270,24640,2249
2014 S/S is the debut album of a South Korean boy group that was formed by who?,Entertainment,YG Entertainment,0.0,0.6666666666666666,82.20,53047,36342,3500
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,83.14,54550,37633,3685
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677 seated",1.0,1.0,46.71,34670,25963,2597
"Who is older, Annie Morton or Terry Richardson?",August,Terry Richardson,0.0,0.0,53.47,34259,24285,2418
Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,55.29,44306,33715,4079
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Kansas Song,1.0,1.0,73.59,42154,26256,2821
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",The Family Man,David Weissman,0.0,0.0,76.21,40598,25044,2667
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,1.0,1.0,71.19,40418,25829,2781
Are Random House Tower and 888 7th Avenue both used for real estate?,no,no,1.0,1.0,101.69,59295,37860,5065
The football manager who recruited David Beckham managed Manchester United during what timeframe?,From 1986 to 2013,from 1986 to 2013,1.0,1.0,62.01,37644,25095,3234
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,2010 census,"9,984",0.0,0.0,81.24,52897,36639,3399
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,North Atlantic Conference,the North Atlantic Conference,1.0,1.0,54.54,36727,25908,2644
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,yes,1.0,1.0,59.36,25855,13506,2440
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,1969 until 1974,1.0,1.0,58.81,37755,26140,2936
"Which writer was from England, Henry Roth or Robert Erskine Childers?",English-born,Robert Erskine Childers DSC,0.0,0.0,42.33,31673,23914,2848

Summary,,,,,,,,
Exact Match,,,0.7000,,,,,
F1 Score,,,0.7708,,,,,
Latency/Q (s),,,64.04,,,,,
Total Latency (s),,,1280.75,,,,,
Tokens/Q,,,39680,,,39680,26902,3028
Examples,,,20,,,,,
