Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Who is the spouse of the Green performer?,Steve Hillage,Miquette Giraudy,0.0,0.0,73.40,34111,20679,1663
Who founded the company that distributed the film UHF?,Unknown,Mike Medavoy,0.0,0.0,86.50,46808,29772,2358
What administrative territorial entity is the owner of Ciudad Deportiva located?,Unknown,Tamaulipas,0.0,0.0,202.43,87553,45420,3538
Where is Ulrich Walter's employer headquartered?,I was unable to find sufficient information to answer your question. The reasoning steps encountered errors or insufficient evidence.,Cologne,0.0,0.0,51.00,37441,28456,1878
Which company owns the manufacturer of Learjet 60?,Unknown,Bombardier Inc.,0.0,0.0,91.29,48123,29835,2360

Summary,,,,,,,,
Exact Match,,,0.0000,,,,,
F1 Score,,,0.0000,,,,,
Latency/Q (s),,,100.92,,,,,
Total Latency (s),,,504.62,,,,,
Tokens/Q,,,50807,,,50807,30832,2359
Examples,,,5,,,,,
