Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Were Scott Derrickson and Ed Wood of the same nationality?,Scott Derrickson and Ed Wood were both American,yes,0.0,0.0,65.20,34071,24473,4237
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief,Chief of Protocol,0.0,0.5,83.39,39546,25840,3802
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?","The Animorphs series, because it is a first-person young adult science fantasy s",Animorphs,0.0,0.16666666666666669,117.33,50361,29556,6738
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,70.11,36297,24569,4049
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",1.0,1.0,69.32,36811,25863,3437
2014 S/S is the debut album of a South Korean boy group that was formed by who?,Entertainment,YG Entertainment,0.0,0.6666666666666666,89.84,41646,25895,4360
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,90.76,42865,27575,4582
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677 seated",1.0,1.0,76.90,40270,27481,4510
"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,1.0,1.0,79.08,39141,25965,4666
Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,67.68,36193,25043,4052
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Kansas Song,1.0,1.0,80.32,40467,27027,3605
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,David Weissman,1.0,1.0,86.50,40572,25918,4183
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,"End of Days, 1999",1999,0.0,0.4,128.52,49463,27786,5289
Are Random House Tower and 888 7th Avenue both used for real estate?,yes,no,0.0,0.0,157.28,58888,29121,7962
The football manager who recruited David Beckham managed Manchester United during what timeframe?,1986 to 2013,from 1986 to 2013,0.0,0.8571428571428571,97.17,42921,25420,3893
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984","9,984",1.0,1.0,140.15,52989,26108,4010
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,North Atlantic Conference,the North Atlantic Conference,1.0,1.0,65.64,38145,26775,3563
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,yes,1.0,1.0,80.36,40737,26402,6183
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,1969 until 1974,1.0,1.0,79.88,40705,27318,4184
"Which writer was from England, Henry Roth or Robert Erskine Childers?",Robert Erskine Childers,Robert Erskine Childers DSC,0.0,0.8571428571428571,54.10,32742,24026,3983
Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,Pedro Rodríguez,Pedro Rodríguez,1.0,1.0,115.68,47659,26742,5150
This singer of A Rather Blustery Day also voiced what hedgehog?,None identified in evidence,Sonic,0.0,0.0,227.18,68370,25806,4553
"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",Keyboard function keys,keyboard function keys,1.0,1.0,130.90,50983,28193,6013
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,Badly Drawn Boy,1.0,1.0,171.52,50495,23962,5733
What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,World's Best Goalkeeper,World's Best Goalkeeper,1.0,1.0,83.83,40213,25762,3902
Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,Yes,Barton Lee Hazlewood,0.0,0.0,77.47,38305,25138,3658
"The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?",1838,1838,1.0,1.0,100.76,44847,28048,3601
"Are both Dictyosperma, and Huernia described as a genus?",yes,yes,1.0,1.0,80.80,31845,17902,4185
Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,True,Henry J. Kaiser,0.0,0.0,68.16,38169,26319,4575
"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",Arena,Arena of Khazan,0.0,0.5,98.49,43700,27233,5552
