Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,54.28,34834,24500,4091
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief,Chief of Protocol,0.0,0.5,75.91,40636,25511,3595
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,1.0,1.0,109.14,52028,29726,7018
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,55.39,33359,23842,3323
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",1.0,1.0,66.63,37866,25596,3588

Summary,,,,,,,,
Exact Match,,,0.8000,,,,,
F1 Score,,,0.9000,,,,,
Latency/Q (s),,,72.27,,,,,
Total Latency (s),,,361.35,,,,,
Tokens/Q,,,39745,,,39745,25835,4323
Examples,,,5,,,,,
