Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,73.29,39534,27579,3638
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol,1.0,1.0,76.51,41111,28891,3040
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,1.0,1.0,126.43,51347,32917,5866
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,93.77,44020,27964,3354
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",Greenwich Village,"Greenwich Village, New York City",0.0,0.5714285714285715,73.34,40369,28745,2970
2014 S/S is the debut album of a South Korean boy group that was formed by who?,Entertainment,YG Entertainment,0.0,0.6666666666666666,71.88,41162,29354,4006
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,76.37,43517,31169,4270
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677 seated",1.0,1.0,109.67,49382,30913,3632
"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,1.0,1.0,79.17,42062,28325,3485
Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,98.58,43599,28839,4180
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Kansas Song,1.0,1.0,85.05,40922,30472,3005
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?","David Weissman, The Family Man",David Weissman,0.0,0.6666666666666666,86.59,44804,30114,4599
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,1.0,1.0,111.41,49129,30887,4329
Are Random House Tower and 888 7th Avenue both used for real estate?,yes,no,0.0,0.0,119.72,54932,32522,9841
The football manager who recruited David Beckham managed Manchester United during what timeframe?,From 1986 to 2013,from 1986 to 2013,1.0,1.0,137.51,46915,28997,3779
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,Unknown,"9,984",0.0,0.0,82.53,42513,29166,3197
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,North Atlantic Conference,the North Atlantic Conference,1.0,1.0,81.14,43840,30238,3509
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,yes,1.0,1.0,68.46,40223,29151,4826
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,1969 until 1974,1.0,1.0,77.20,43557,30434,3397
"Which writer was from England, Henry Roth or Robert Erskine Childers?",Robert Erskine Childers,Robert Erskine Childers DSC,0.0,0.8571428571428571,81.00,41444,27483,3948

Summary,,,,,,,,
Exact Match,,,0.7000,,,,,
F1 Score,,,0.8381,,,,,
Latency/Q (s),,,90.48,,,,,
Total Latency (s),,,1809.63,,,,,
Tokens/Q,,,44219,,,44219,29708,4144
Examples,,,20,,,,,
