Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Who is the spouse of the Green performer?,Steve Hillage,Miquette Giraudy,0.0,0.0,63.83,34687,22040,2012
Who founded the company that distributed the film UHF?,Morris Mike Medavoy,Mike Medavoy,0.0,0.8,77.90,47964,32748,2473
What administrative territorial entity is the owner of Ciudad Deportiva located?,Tamaulipas,Tamaulipas,1.0,1.0,182.55,91091,52773,4509
Where is Ulrich Walter's employer headquartered?,German Aerospace Center,Cologne,0.0,0.0,47.81,30734,21345,1566
Which company owns the manufacturer of Learjet 60?,Bombardier Inc,Bombardier Inc.,1.0,1.0,70.17,35220,21512,1606

Summary,,,,,,,,
Exact Match,,,0.4000,,,,,
F1 Score,,,0.5600,,,,,
Latency/Q (s),,,88.45,,,,,
Total Latency (s),,,442.26,,,,,
Tokens/Q,,,47939,,,47939,30084,2433
Examples,,,5,,,,,
