Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Who is the spouse of the Green performer?,Steve Hillage,Miquette Giraudy,0.0,0.0,78.16,45657,30357,2282
Who founded the company that distributed the film UHF?,Orion Pictures,Mike Medavoy,0.0,0.0,32.78,26966,21593,1534
What administrative territorial entity is the owner of Ciudad Deportiva located?,Tamaulipas,Tamaulipas,1.0,1.0,56.06,32781,22012,1687
Where is Ulrich Walter's employer headquartered?,German Aerospace Center,Cologne,0.0,0.0,64.46,34788,21615,1899
Which company owns the manufacturer of Learjet 60?,Bombardier Aerospace,Bombardier Inc.,0.0,0.5,67.97,35041,21557,1681

Summary,,,,,,,,
Exact Match,,,0.2000,,,,,
F1 Score,,,0.3000,,,,,
Latency/Q (s),,,59.89,,,,,
Total Latency (s),,,299.44,,,,,
Tokens/Q,,,35047,,,35047,23427,1817
Examples,,,5,,,,,
