Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,69.16,41744,29735,3525
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol,1.0,1.0,93.38,48840,31466,3838
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,1.0,1.0,110.90,56452,35757,7044
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,87.04,45936,29837,3655
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",1.0,1.0,81.91,45421,31033,3488
2014 S/S is the debut album of a South Korean boy group that was formed by who?,Winner,YG Entertainment,0.0,0.0,89.90,48469,31232,3784
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,65.48,44731,33000,4085
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677 seated",1.0,1.0,66.82,44689,32577,3463
"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,1.0,1.0,58.05,39765,30082,3000
Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,61.94,41389,30748,4031
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Kansas Song,1.0,1.0,66.76,44310,32634,3340
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,David Weissman,1.0,1.0,70.72,43733,30959,3461
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,1.0,1.0,77.95,47948,33498,5003
Are Random House Tower and 888 7th Avenue both used for real estate?,yes,no,0.0,0.0,99.29,52185,33397,5955
The football manager who recruited David Beckham managed Manchester United during what timeframe?,From 1986 to 2013,from 1986 to 2013,1.0,1.0,75.09,44657,31414,3832
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,Unknown,"9,984",0.0,0.0,51.50,39295,30958,2976
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,North Atlantic Conference,the North Atlantic Conference,1.0,1.0,66.49,43897,32338,3393
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,yes,1.0,1.0,91.92,48720,31778,5777
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,1969 until 1974,1.0,1.0,69.46,44669,32582,3540
"Which writer was from England, Henry Roth or Robert Erskine Childers?",Erskine Childers,Robert Erskine Childers DSC,0.0,0.6666666666666666,79.93,43814,29374,3601

Summary,,,,,,,,
Exact Match,,,0.8000,,,,,
F1 Score,,,0.8333,,,,,
Latency/Q (s),,,76.68,,,,,
Total Latency (s),,,1533.69,,,,,
Tokens/Q,,,45533,,,45533,31720,4040
Examples,,,20,,,,,
