Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,63.75,44639,32196,2774
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Unknown,Chief of Protocol,0.0,0.0,108.34,56428,33841,3082
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,1.0,1.0,107.31,59411,36645,5388
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,70.05,45992,32392,3285
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",Greenwich Village,"Greenwich Village, New York City",0.0,0.5714285714285715,78.63,49370,33321,2711
2014 S/S is the debut album of a South Korean boy group that was formed by who?,Unknown,YG Entertainment,0.0,0.0,56.17,44807,33740,2926
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,114.48,59457,35264,4087
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677 seated",1.0,1.0,72.82,49824,35170,2957
"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,1.0,1.0,57.02,43774,32883,2756
Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,131.47,61094,33027,3516
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Kansas Song,1.0,1.0,78.03,51419,35355,3064
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,David Weissman,1.0,1.0,120.54,60146,33727,3228
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,1.0,1.0,71.22,50218,35412,4259
Are Random House Tower and 888 7th Avenue both used for real estate?,yes,no,0.0,0.0,70.38,50239,35481,4584
The football manager who recruited David Beckham managed Manchester United during what timeframe?,From 1986 to 2013,from 1986 to 2013,1.0,1.0,109.83,56015,33557,3144
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,Unknown,"9,984",0.0,0.0,54.56,43917,33681,2413
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,North Atlantic Conference,the North Atlantic Conference,1.0,1.0,83.63,51833,34888,2936
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,yes,1.0,1.0,97.47,55005,34405,5717
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,1969 until 1974,1.0,1.0,88.99,54464,35854,3790
"Which writer was from England, Henry Roth or Robert Erskine Childers?",Erskine Childers,Robert Erskine Childers DSC,0.0,0.6666666666666666,61.56,43816,32019,3135

Summary,,,,,,,,
Exact Match,,,0.7000,,,,,
F1 Score,,,0.7619,,,,,
Latency/Q (s),,,84.81,,,,,
Total Latency (s),,,1696.25,,,,,
Tokens/Q,,,51593,,,51593,34143,3488
Examples,,,20,,,,,
