Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,63.61,37088,27111,3385
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol,1.0,1.0,91.53,44459,29145,3865
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,1.0,1.0,98.12,48963,32579,6766
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,70.51,38200,26919,3387
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",1.0,1.0,78.66,40826,28028,3155
2014 S/S is the debut album of a South Korean boy group that was formed by who?,Entertainment,YG Entertainment,0.0,0.6666666666666666,72.70,41066,28745,4025
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,74.44,42811,30510,4549
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677 seated",1.0,1.0,92.12,45887,30475,4040
"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,1.0,1.0,61.43,36852,27979,3591
Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,70.79,39271,28431,4413
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Kansas Song,1.0,1.0,90.42,45046,30095,3560
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?","David Weissman, The Family Man",David Weissman,0.0,0.6666666666666666,92.33,44147,28839,3968
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,1.0,1.0,78.10,43194,30472,4847
Are Random House Tower and 888 7th Avenue both used for real estate?,yes,no,0.0,0.0,89.95,47359,31652,7036
The football manager who recruited David Beckham managed Manchester United during what timeframe?,1986 to 2013,from 1986 to 2013,0.0,0.8571428571428571,93.13,43595,28599,3985
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"Brown State Fishing Lake is in the United States, and its population is not specified in the provided evidence","9,984",0.0,0.0,73.59,40605,29054,3707
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,North Atlantic Conference,the North Atlantic Conference,1.0,1.0,93.04,45699,29949,3925
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,yes,1.0,1.0,80.75,41870,28605,5653
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,1969 until 1974,1.0,1.0,78.38,42928,30126,3975
"Which writer was from England, Henry Roth or Robert Erskine Childers?",Robert Erskine Childers,Robert Erskine Childers DSC,0.0,0.8571428571428571,72.95,38491,26829,3854

Summary,,,,,,,,
Exact Match,,,0.7000,,,,,
F1 Score,,,0.8524,,,,,
Latency/Q (s),,,80.83,,,,,
Total Latency (s),,,1616.54,,,,,
Tokens/Q,,,42418,,,42418,29207,4284
Examples,,,20,,,,,
