Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Who is the spouse of the Green performer?,Steve Hillage,Miquette Giraudy,0.0,0.0,69.96,41268,30780,2151
Who founded the company that distributed the film UHF?,Morris Mike Medavoy,Mike Medavoy,0.0,0.8,122.90,64044,43437,3139
What administrative territorial entity is the owner of Ciudad Deportiva located?,Tamaulipas,Tamaulipas,1.0,1.0,137.61,40575,17106,2030
Where is Ulrich Walter's employer headquartered?,Cologne,Cologne,1.0,1.0,58.56,40547,31861,2053
Which company owns the manufacturer of Learjet 60?,Bombardier Inc,Bombardier Inc.,1.0,1.0,105.11,49689,32645,2382
Who is the child of Caroline LeRoy's spouse?,Fletcher Webster,Fletcher Webster,1.0,1.0,82.19,45322,31770,2062
"Who is the grandmother of Philippe, Duke of Orléans?",Marie,Marie de' Medici,0.0,0.5,119.88,41943,20945,3103
What is the goal of the group that European Movement Germany is a member of?,European Movement International,European integration,0.0,0.4,48.74,38072,31038,2219
What company succeeded the owner of Empire Sports Network?,Empire Sports Network was an American regional sports network that was owned by the Adelphia Communications,Time Warner Cable,0.0,0.0,86.63,47794,34104,2213
What province shares a border with the province where Lago District is located?,Niassa Province,Cabo Delgado Province,0.0,0.4,78.24,44645,31951,1850

Summary,,,,,,,,
Exact Match,,,0.4000,,,,,
F1 Score,,,0.6100,,,,,
Latency/Q (s),,,90.98,,,,,
Total Latency (s),,,909.83,,,,,
Tokens/Q,,,45390,,,45390,30564,2320
Examples,,,10,,,,,
