Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Who is the spouse of the Green performer?,Miquette Giraudy,Miquette Giraudy,1.0,1.0,78.14,35919,20601,1671
Who founded the company that distributed the film UHF?,Unknown,Mike Medavoy,0.0,0.0,156.66,76623,45086,3340
What administrative territorial entity is the owner of Ciudad Deportiva located?,Unknown,Tamaulipas,0.0,0.0,86.81,37589,20664,1590
Where is Ulrich Walter's employer headquartered?,Unknown,Cologne,0.0,0.0,51.84,38285,29354,1731
Which company owns the manufacturer of Learjet 60?,Unknown,Bombardier Inc.,0.0,0.0,66.56,33497,20699,1768

Summary,,,,,,,,
Exact Match,,,0.2000,,,,,
F1 Score,,,0.2000,,,,,
Latency/Q (s),,,88.00,,,,,
Total Latency (s),,,440.00,,,,,
Tokens/Q,,,44383,,,44383,27281,2020
Examples,,,5,,,,,
