Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,61.41,43125,32236,2672
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,United States,Chief of Protocol,0.0,0.0,47.56,40219,31591,2146
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,1.0,1.0,115.16,59260,37835,4813
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,59.42,42716,32137,2500
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",1.0,1.0,51.98,40350,31219,2142
2014 S/S is the debut album of a South Korean boy group that was formed by who?,Entertainment,YG Entertainment,0.0,0.6666666666666666,53.03,40931,31516,2508
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,45.79,40794,32549,2846
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677 seated",1.0,1.0,57.38,42411,32409,2160
"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,1.0,1.0,58.68,57559,47311,3591
Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,83.84,51860,36444,3363
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Kansas Song,1.0,1.0,82.98,49158,33228,3374
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Diamond and David Weissman,David Weissman,0.0,0.5714285714285715,64.56,35615,22979,3261
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,1.0,1.0,84.40,49950,34198,3030
Are Random House Tower and 888 7th Avenue both used for real estate?,yes,no,0.0,0.0,56.92,29913,19562,2568
The football manager who recruited David Beckham managed Manchester United during what timeframe?,From 1986 to 2013,from 1986 to 2013,1.0,1.0,78.95,47346,31857,2853
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984","9,984",1.0,1.0,60.54,42804,31436,2140
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,North Atlantic Conference,the North Atlantic Conference,1.0,1.0,101.48,68285,49192,3463
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,yes,1.0,1.0,39.95,26522,19153,2677
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,1969 until 1974,1.0,1.0,44.14,40470,32781,2595
"Which writer was from England, Henry Roth or Robert Erskine Childers?",Robert Erskine Childers,Robert Erskine Childers DSC,0.0,0.8571428571428571,48.64,41381,32815,3561

Summary,,,,,,,,
Exact Match,,,0.7500,,,,,
F1 Score,,,0.8548,,,,,
Latency/Q (s),,,64.84,,,,,
Total Latency (s),,,1296.82,,,,,
Tokens/Q,,,44533,,,44533,32622,2913
Examples,,,20,,,,,
