Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,47.97,31932,22727,2775
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol,1.0,1.0,107.05,57084,34837,3647
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",It is told in first person,Animorphs,0.0,0.0,69.87,40715,25974,4305
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,36.39,29010,22353,2309
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",1.0,1.0,69.77,37588,23351,2265
2014 S/S is the debut album of a South Korean boy group that was formed by who?,Entertainment,YG Entertainment,0.0,0.6666666666666666,36.07,30236,23583,2466
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,63.56,26430,13443,2104
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677 seated",1.0,1.0,61.19,37163,24975,4480
"Who is older, Annie Morton or Terry Richardson?",Terrence Uncle Terry Richardson,Terry Richardson,0.0,0.6666666666666666,50.85,32715,22669,2370
Are Local H and For Against both from the United States?,no,yes,0.0,0.0,40.00,20491,12757,2049
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Kansas Song,1.0,1.0,42.06,32767,24882,2660
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,David Weissman,1.0,1.0,74.52,40127,25011,2895
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,1.0,1.0,50.25,34441,24575,3203
Are Random House Tower and 888 7th Avenue both used for real estate?,no,no,1.0,1.0,57.30,36312,24504,4048
The football manager who recruited David Beckham managed Manchester United during what timeframe?,From 1986 to 2013,from 1986 to 2013,1.0,1.0,85.78,52470,34574,4160
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,Unknown,"9,984",0.0,0.0,63.36,46470,34288,2736
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,North Atlantic Conference,the North Atlantic Conference,1.0,1.0,38.58,31542,24339,2321
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,no,yes,0.0,0.0,74.01,39204,23645,3378
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,From 1969 until 1974,1969 until 1974,0.0,0.8571428571428571,39.80,32520,24806,2895
"Which writer was from England, Henry Roth or Robert Erskine Childers?",English-born,Robert Erskine Childers DSC,0.0,0.0,49.83,32910,22806,3197

Summary,,,,,,,,
Exact Match,,,0.6000,,,,,
F1 Score,,,0.7095,,,,,
Latency/Q (s),,,57.91,,,,,
Total Latency (s),,,1158.23,,,,,
Tokens/Q,,,36106,,,36106,24505,3013
Examples,,,20,,,,,
