Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,55.97,41403,30268,3177
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,United States,Chief of Protocol,0.0,0.0,82.22,47903,31289,2982
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,1.0,1.0,64.54,32471,20085,3124
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,38.96,36899,29817,2445
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",1.0,1.0,49.50,38375,29163,2072
2014 S/S is the debut album of a South Korean boy group that was formed by who?,Entertainment,YG Entertainment,0.0,0.6666666666666666,47.32,39298,29977,3193
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,30.06,21506,16194,1627
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677 seated",1.0,1.0,48.75,39601,30462,2664
"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,1.0,1.0,41.20,37653,30331,2579
Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,36.84,36862,30257,2556
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Kansas Song,1.0,1.0,44.66,39489,30882,2692
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,David Weissman,1.0,1.0,122.98,71211,45515,4541
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,1.0,1.0,82.52,49396,32602,3980
Are Random House Tower and 888 7th Avenue both used for real estate?,"Based on the analysis, here's a comparison: 1. Find information about Random House Tower to determine its primary use or purpose.: used as the headquarters of book publisher Random House and a luxury apartment complex 2. Find information about 888 7th Avenue to determine its primary use or purpose.: office skyscraper This comparison provides a comprehensive view of the differences and similarities",no,0.0,0.0,55.36,40595,29838,2457
The football manager who recruited David Beckham managed Manchester United during what timeframe?,From 1986 to 2013,from 1986 to 2013,1.0,1.0,57.46,40735,29441,2756
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984","9,984",1.0,1.0,108.71,66625,44824,3140
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,North Atlantic Conference,the North Atlantic Conference,1.0,1.0,59.35,41897,30231,2353
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,yes,1.0,1.0,57.97,42737,31388,4484
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,1969 until 1974,1.0,1.0,47.21,40039,30955,3069
"Which writer was from England, Henry Roth or Robert Erskine Childers?",Robert Erskine Childers,Robert Erskine Childers DSC,0.0,0.8571428571428571,34.61,23455,17250,2299

Summary,,,,,,,,
Exact Match,,,0.8000,,,,,
F1 Score,,,0.8762,,,,,
Latency/Q (s),,,58.31,,,,,
Total Latency (s),,,1166.18,,,,,
Tokens/Q,,,41408,,,41408,30038,2910
Examples,,,20,,,,,
