Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Who is the spouse of the Green performer?,ERROR,Miquette Giraudy,0.0,0.0,0.00,0,0,0
Who founded the company that distributed the film UHF?,ERROR,Mike Medavoy,0.0,0.0,0.00,0,0,0
What administrative territorial entity is the owner of Ciudad Deportiva located?,ERROR,Tamaulipas,0.0,0.0,0.00,0,0,0
Where is Ulrich Walter's employer headquartered?,ERROR,Cologne,0.0,0.0,0.00,0,0,0
Which company owns the manufacturer of Learjet 60?,ERROR,Bombardier Inc.,0.0,0.0,0.00,0,0,0
Who is the child of Caroline LeRoy's spouse?,ERROR,Fletcher Webster,0.0,0.0,0.00,0,0,0
"Who is the grandmother of Philippe, Duke of Orléans?",ERROR,Marie de' Medici,0.0,0.0,0.00,0,0,0
What is the goal of the group that European Movement Germany is a member of?,ERROR,European integration,0.0,0.0,0.00,0,0,0
What company succeeded the owner of Empire Sports Network?,ERROR,Time Warner Cable,0.0,0.0,0.00,0,0,0
What province shares a border with the province where Lago District is located?,ERROR,Cabo Delgado Province,0.0,0.0,0.00,0,0,0
What league does the team that plays in Stadio Ciro Vigorito play for?,ERROR,Lega Pro Prima Divisione,0.0,0.0,0.00,0,0,0
What is a notable work written by the author of The Timothy files?,ERROR,Anderson Tapes,0.0,0.0,0.00,0,0,0
In which borough was Callum McManaman born?,ERROR,Knowsley,0.0,0.0,0.00,0,0,0
What other county does the county where Imperial is located share a border with?,ERROR,Crockett County,0.0,0.0,0.00,0,0,0
In what county is William W. Blair's birthplace located?,ERROR,Orleans County,0.0,0.0,0.00,0,0,0
What award did the author of The Red Tree receive?,ERROR,Academy Award for Best Animated Short Film,0.0,0.0,0.00,0,0,0
Where was Tyler MacDuff's child educated?,ERROR,Blair High School,0.0,0.0,0.00,0,0,0
Who is the spouse of the Rabbit Hole's producer?,ERROR,Keith Urban,0.0,0.0,0.00,0,0,0
Who is the child of Sigrid Eskilsdotter's child?,ERROR,Svante Stensson Sture,0.0,0.0,0.00,0,0,0
In which county is Kimbrough Memorial Stadium located?,ERROR,Randall County,0.0,0.0,0.00,0,0,0

Summary,,,,,,,,
Exact Match,,,0.0000,,,,,
F1 Score,,,0.0000,,,,,
Latency/Q (s),,,0.00,,,,,
Total Latency (s),,,0.00,,,,,
Tokens/Q,,,0,,,0,0,0
Examples,,,20,,,,,
