Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,55.00,38694,29270,3431
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol,1.0,1.0,63.88,41888,30472,3604
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,1.0,1.0,89.47,52773,35241,6596
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,52.08,37736,28567,4443
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",1.0,1.0,92.66,47270,29839,3012
2014 S/S is the debut album of a South Korean boy group that was formed by who?,Entertainment,YG Entertainment,0.0,0.6666666666666666,54.06,40312,30658,3756
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,63.74,44526,32733,4375
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677 seated",1.0,1.0,84.88,47927,31709,3589
"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,1.0,1.0,70.72,43427,30185,3707
Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,130.77,56910,30643,4402
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Kansas Song,1.0,1.0,74.62,45745,31731,3419
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,David Weissman,1.0,1.0,63.09,42809,30418,3538
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,1.0,1.0,90.21,49602,32347,4944
Are Random House Tower and 888 7th Avenue both used for real estate?,yes,no,0.0,0.0,118.58,56998,33533,7082
The football manager who recruited David Beckham managed Manchester United during what timeframe?,From 1986 to 2013,from 1986 to 2013,1.0,1.0,99.17,50105,30552,4036
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,Unknown,"9,984",0.0,0.0,66.45,42635,30382,3247
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,North Atlantic Conference,the North Atlantic Conference,1.0,1.0,70.15,44592,31374,3121
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,yes,1.0,1.0,60.76,40964,30199,4610
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,From 1969 until 1974,1969 until 1974,0.0,0.8571428571428571,51.11,40525,31927,3595
"Which writer was from England, Henry Roth or Robert Erskine Childers?",English-born,Robert Erskine Childers DSC,0.0,0.0,71.72,41918,28639,3502

Summary,,,,,,,,
Exact Match,,,0.7500,,,,,
F1 Score,,,0.8262,,,,,
Latency/Q (s),,,76.16,,,,,
Total Latency (s),,,1523.13,,,,,
Tokens/Q,,,45368,,,45368,31021,4100
Examples,,,20,,,,,
