Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,68.76,39762,28314,3117
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol,1.0,1.0,86.85,44778,30197,3342
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Yes,Animorphs,0.0,0.0,113.61,55788,33712,6302
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,"The Laleli Mosque is located in Laleli, while the Esma Sultan Mansion is located in the Ortaköy neighborhood",no,0.0,0.0,71.26,40062,28217,3346
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",1.0,1.0,81.51,43837,29530,3427
2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,YG Entertainment,1.0,1.0,62.35,40500,30095,3635
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,72.91,44460,32005,4306
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677 seated",1.0,1.0,98.95,50133,31409,3606
"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,1.0,1.0,66.35,40414,28812,2844
Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,109.34,49734,29746,4635
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Kansas Song,1.0,1.0,75.24,44752,31531,3446
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,David Weissman,1.0,1.0,81.63,44598,30004,3707
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,1.0,1.0,99.56,51327,31942,4797
Are Random House Tower and 888 7th Avenue both used for real estate?,yes,no,0.0,0.0,99.88,50617,32638,6315
The football manager who recruited David Beckham managed Manchester United during what timeframe?,From 1986 to 2013,from 1986 to 2013,1.0,1.0,83.66,44488,29719,3646
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,Kansas in the United States,"9,984",0.0,0.0,77.88,43598,30196,3395
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,North Atlantic Conference,the North Atlantic Conference,1.0,1.0,48.89,39074,31282,3493
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,yes,1.0,1.0,79.32,44635,30574,5556
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,From 1969 until 1974,1969 until 1974,0.0,0.8571428571428571,76.59,43551,31570,3718
"Which writer was from England, Henry Roth or Robert Erskine Childers?",Robert Erskine Childers,Robert Erskine Childers DSC,0.0,0.8571428571428571,93.53,45223,28614,4472

Summary,,,,,,,,
Exact Match,,,0.7000,,,,,
F1 Score,,,0.7857,,,,,
Latency/Q (s),,,82.40,,,,,
Total Latency (s),,,1648.10,,,,,
Tokens/Q,,,45067,,,45067,30505,4055
Examples,,,20,,,,,
