Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Who is the spouse of the Green performer?,Miquette Giraudy,Miquette Giraudy,1.0,1.0,58.89,39001,28142,2355
Who founded the company that distributed the film UHF?,Unknown,Mike Medavoy,0.0,0.0,175.42,77419,43345,2702
What administrative territorial entity is the owner of Ciudad Deportiva located?,No,Tamaulipas,0.0,0.0,111.42,52009,30630,2667
Where is Ulrich Walter's employer headquartered?,Unknown,Cologne,0.0,0.0,68.42,41099,28613,2372
Which company owns the manufacturer of Learjet 60?,Bombardier Inc,Bombardier Inc.,1.0,1.0,88.98,45146,28570,2294

Summary,,,,,,,,
Exact Match,,,0.4000,,,,,
F1 Score,,,0.4000,,,,,
Latency/Q (s),,,100.63,,,,,
Total Latency (s),,,503.14,,,,,
Tokens/Q,,,50935,,,50935,31860,2478
Examples,,,5,,,,,
