Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Who is the spouse of the Green performer?,Grant Green,Miquette Giraudy,0.0,0.0,53.69,31957,21945,2225
Who founded the company that distributed the film UHF?,Morris Mike Medavoy,Mike Medavoy,0.0,0.8,160.12,83294,49404,4010
What administrative territorial entity is the owner of Ciudad Deportiva located?,Tamaulipas,Tamaulipas,1.0,1.0,91.20,37140,18973,2140
Where is Ulrich Walter's employer headquartered?,German Aerospace Center,Cologne,0.0,0.0,35.87,27178,20957,1593
Which company owns the manufacturer of Learjet 60?,Bombardier Aerospace,Bombardier Inc.,0.0,0.5,51.16,31473,21454,1419

Summary,,,,,,,,
Exact Match,,,0.2000,,,,,
F1 Score,,,0.4600,,,,,
Latency/Q (s),,,78.41,,,,,
Total Latency (s),,,392.03,,,,,
Tokens/Q,,,42208,,,42208,26547,2277
Examples,,,5,,,,,
