Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,45.29,31545,24191,3622
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,United States,Chief of Protocol,0.0,0.0,65.91,37755,25992,4663
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,1.0,1.0,122.79,53518,29473,6323
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,82.34,32512,24027,3542
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Adriana Trigiani, Greenwich Village","Greenwich Village, New York City",0.0,0.4444444444444445,85.40,40532,25255,3410
2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,YG Entertainment,1.0,1.0,71.09,38488,25656,3933
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,106.89,47771,28661,5084
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677 seated",1.0,1.0,65.39,38312,26964,3989
"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,1.0,1.0,83.15,39648,24868,3922
Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,100.25,44318,25743,4899
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Kansas Song,1.0,1.0,59.99,37931,27323,4057
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,David Weissman,1.0,1.0,78.68,40409,25833,4072
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,1.0,1.0,93.38,43883,27121,4768
Are Random House Tower and 888 7th Avenue both used for real estate?,yes,no,0.0,0.0,101.21,45469,27050,5475
The football manager who recruited David Beckham managed Manchester United during what timeframe?,From 1986 to 2013,from 1986 to 2013,1.0,1.0,87.97,41220,25872,4407
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"Brown State Fishing Lake is in the United States, but its population is not found in the provided evidence","9,984",0.0,0.0,118.40,48279,26169,4283
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,North Atlantic Conference,the North Atlantic Conference,1.0,1.0,68.36,39285,27224,4197
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,yes,1.0,1.0,103.83,46690,26649,7332
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,1969 until 1974,1.0,1.0,70.11,39445,27085,3832
"Which writer was from England, Henry Roth or Robert Erskine Childers?",Robert Erskine Childers,Robert Erskine Childers DSC,0.0,0.8571428571428571,48.36,31435,23868,4042

Summary,,,,,,,,
Exact Match,,,0.7500,,,,,
F1 Score,,,0.8151,,,,,
Latency/Q (s),,,82.94,,,,,
Total Latency (s),,,1658.79,,,,,
Tokens/Q,,,40922,,,40922,26251,4493
Examples,,,20,,,,,
