Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Who is the spouse of the Green performer?,Steve Hillage,Miquette Giraudy,0.0,0.0,54.39,29640,20099,1692
Who founded the company that distributed the film UHF?,Unknown,Mike Medavoy,0.0,0.0,149.52,75334,45312,3503
What administrative territorial entity is the owner of Ciudad Deportiva located?,Unknown,Tamaulipas,0.0,0.0,257.01,115417,61932,4741
Where is Ulrich Walter's employer headquartered?,Unknown,Cologne,0.0,0.0,75.30,43772,29603,2056
Which company owns the manufacturer of Learjet 60?,Bombardier Inc,Bombardier Inc.,1.0,1.0,98.62,49463,29963,2464

Summary,,,,,,,,
Exact Match,,,0.2000,,,,,
F1 Score,,,0.2000,,,,,
Latency/Q (s),,,126.97,,,,,
Total Latency (s),,,634.85,,,,,
Tokens/Q,,,62725,,,62725,37382,2891
Examples,,,5,,,,,
