Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Were Scott Derrickson and Ed Wood of the same nationality?,American,yes,0.0,0.0,41.57,30320,22974,2529
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol,1.0,1.0,59.38,35408,24029,2986
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?","How the Yeerks enslaved the Hork-Bajir, and how Aldrea, an Andalite, and her com",Animorphs,0.0,0.0,92.71,46151,26752,4876
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,Ortaköy neighborhood,no,0.0,0.0,40.19,30009,22957,2646
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",1.0,1.0,34.37,29679,23727,2397
2014 S/S is the debut album of a South Korean boy group that was formed by who?,Entertainment,YG Entertainment,0.0,0.6666666666666666,64.89,47316,34931,3429
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,99.33,46369,25490,3565
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677 seated",1.0,1.0,50.45,34731,25012,2659
"Who is older, Annie Morton or Terry Richardson?",August,Terry Richardson,0.0,0.0,35.21,29396,23137,2057
Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,54.42,34014,23328,2381
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Kansas Song,1.0,1.0,36.41,32113,25490,2961
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,David Weissman,1.0,1.0,95.46,55470,34897,3453
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,1.0,1.0,64.61,37980,25244,3560
Are Random House Tower and 888 7th Avenue both used for real estate?,Office skyscraper,no,0.0,0.0,52.68,35035,24745,3201
The football manager who recruited David Beckham managed Manchester United during what timeframe?,From 1986 to 2013,from 1986 to 2013,1.0,1.0,80.44,40768,24102,2990
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,The United States,"9,984",0.0,0.0,72.24,49227,34999,3234
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,North Atlantic Conference,the North Atlantic Conference,1.0,1.0,45.94,34157,24986,2665
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,Operas,yes,0.0,0.0,66.67,37360,24047,3667
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,From 1969 until 1974,1969 until 1974,0.0,0.8571428571428571,45.48,33726,25224,2993
"Which writer was from England, Henry Roth or Robert Erskine Childers?",English,Robert Erskine Childers DSC,0.0,0.0,57.91,34400,22901,2849

Summary,,,,,,,,
Exact Match,,,0.5000,,,,,
F1 Score,,,0.5762,,,,,
Latency/Q (s),,,59.52,,,,,
Total Latency (s),,,1190.37,,,,,
Tokens/Q,,,37681,,,37681,25949,3055
Examples,,,20,,,,,
