Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Were Scott Derrickson and Ed Wood of the same nationality?,American,yes,0.0,0.0,76.80,40437,24379,2711
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol,1.0,1.0,78.21,41551,25416,2511
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,1.0,1.0,77.69,55402,39469,5110
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,73.01,50346,35076,2760
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",1.0,1.0,61.09,36962,25084,2294
2014 S/S is the debut album of a South Korean boy group that was formed by who?,Entertainment,YG Entertainment,0.0,0.6666666666666666,48.61,46968,37506,4187
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Yes,Eenasul Fateh,0.0,0.0,66.57,39746,26495,3304
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677 seated",1.0,1.0,58.88,37775,26411,2751
"Who is older, Annie Morton or Terry Richardson?",August,Terry Richardson,0.0,0.0,69.85,39042,24707,2618
Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,58.01,36166,24626,2721
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Kansas Song,1.0,1.0,56.43,38025,26822,2997
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,David Weissman,1.0,1.0,83.40,43327,25495,2997
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,1.0,1.0,62.48,39107,26797,3666
Are Random House Tower and 888 7th Avenue both used for real estate?,yes,no,0.0,0.0,70.64,41298,26558,4371
The football manager who recruited David Beckham managed Manchester United during what timeframe?,From 1986 to 2013,from 1986 to 2013,1.0,1.0,74.87,41348,25504,3096
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,Unknown,"9,984",0.0,0.0,44.47,34305,25588,2676
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,North Atlantic Conference,the North Atlantic Conference,1.0,1.0,48.31,35837,26336,2732
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,yes,1.0,1.0,52.32,24397,13728,2401
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,From 1969 until 1974,1969 until 1974,0.0,0.8571428571428571,57.07,38350,26668,2994
"Which writer was from England, Henry Roth or Robert Erskine Childers?",English-born,Robert Erskine Childers DSC,0.0,0.0,42.39,31505,24277,2767

Summary,,,,,,,,
Exact Match,,,0.6000,,,,,
F1 Score,,,0.6762,,,,,
Latency/Q (s),,,63.05,,,,,
Total Latency (s),,,1261.09,,,,,
Tokens/Q,,,39595,,,39595,26847,3083
Examples,,,20,,,,,
