Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,74.47,40133,27560,3431
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol,1.0,1.0,73.03,41742,28954,3176
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,1.0,1.0,131.52,59585,33668,7009
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,57.30,36186,27386,3298
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",Greenwich Village,"Greenwich Village, New York City",0.0,0.5714285714285715,67.07,40644,29445,3313

Summary,,,,,,,,
Exact Match,,,0.8000,,,,,
F1 Score,,,0.9143,,,,,
Latency/Q (s),,,80.68,,,,,
Total Latency (s),,,403.39,,,,,
Tokens/Q,,,43658,,,43658,29403,4045
Examples,,,5,,,,,
