Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,41.67,30106,22385,2459
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol,1.0,1.0,64.87,36937,23460,2703
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,1.0,1.0,82.66,53755,36999,5362
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,41.40,30145,22518,2690
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",1.0,1.0,86.09,51045,34130,3039
2014 S/S is the debut album of a South Korean boy group that was formed by who?,Unknown,YG Entertainment,0.0,0.0,67.07,47657,34224,3182
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,81.33,53152,36081,4017
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677 seated",1.0,1.0,57.88,36788,24791,3207
"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,1.0,1.0,117.91,59671,34231,4261
Are Local H and For Against both from the United States?,no,yes,0.0,0.0,54.35,33392,22795,2388
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Kansas Song,1.0,1.0,46.97,34085,24795,2646
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,David Weissman,1.0,1.0,57.87,36809,25297,3086
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,1.0,1.0,72.22,38866,25128,4129
Are Random House Tower and 888 7th Avenue both used for real estate?,no,no,1.0,1.0,99.19,57592,36262,5582
The football manager who recruited David Beckham managed Manchester United during what timeframe?,From 1986 to 2013,from 1986 to 2013,1.0,1.0,65.35,36686,23484,2685
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984","9,984",1.0,1.0,71.94,38271,23728,2702
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,North Atlantic Conference,the North Atlantic Conference,1.0,1.0,42.20,32815,24525,2668
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,no,yes,0.0,0.0,62.26,36076,23418,3304
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,From 1969 until 1974,1969 until 1974,0.0,0.8571428571428571,51.51,35411,24756,2759
"Which writer was from England, Henry Roth or Robert Erskine Childers?",English-born,Robert Erskine Childers DSC,0.0,0.0,41.62,30802,22807,3208

Summary,,,,,,,,
Exact Match,,,0.7500,,,,,
F1 Score,,,0.7929,,,,,
Latency/Q (s),,,65.32,,,,,
Total Latency (s),,,1306.36,,,,,
Tokens/Q,,,40503,,,40503,27291,3304
Examples,,,20,,,,,
