Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Who is the spouse of the Green performer?,Miquette Giraudy,Miquette Giraudy,1.0,1.0,74.14,44560,30593,3355
Who founded the company that distributed the film UHF?,Morris Mike Medavoy,Mike Medavoy,0.0,0.8,55.97,41927,31669,2453
What administrative territorial entity is the owner of Ciudad Deportiva located?,The Mexican state of Tamaulipas,Tamaulipas,0.0,0.4,122.43,72158,47896,4010
Where is Ulrich Walter's employer headquartered?,Unknown,Cologne,0.0,0.0,51.82,41063,31573,2041
Which company owns the manufacturer of Learjet 60?,Bombardier Inc,Bombardier Inc.,1.0,1.0,55.99,42025,31711,2116
Who is the child of Caroline LeRoy's spouse?,Daniel Fletcher Webster,Fletcher Webster,0.0,0.8,86.14,49900,33278,2091
"Who is the grandmother of Philippe, Duke of Orléans?",Unknown,Marie de' Medici,0.0,0.0,135.02,80942,53044,5073
What is the goal of the group that European Movement Germany is a member of?,"Promoting European integration, and disseminating information about it",European integration,0.0,0.4,96.42,50367,31492,2562
What company succeeded the owner of Empire Sports Network?,Time Warner Cable,Time Warner Cable,1.0,1.0,52.61,41847,32469,1999
What province shares a border with the province where Lago District is located?,Niassa Province,Cabo Delgado Province,0.0,0.4,78.51,46670,31692,1957
What league does the team that plays in Stadio Ciro Vigorito play for?,Lega Pro Prima Divisione,Lega Pro Prima Divisione,1.0,1.0,39.51,37713,31333,2084
What is a notable work written by the author of The Timothy files?,Lawrence Sanders,Anderson Tapes,0.0,0.0,47.41,39328,31248,2340
In which borough was Callum McManaman born?,Metropolitan Borough of Knowsley,Knowsley,0.0,0.4,30.06,20781,16166,1358
What other county does the county where Imperial is located share a border with?,Pecos County,Crockett County,0.0,0.5,87.69,50223,33505,2202
In what county is William W. Blair's birthplace located?,Orleans County,Orleans County,1.0,1.0,71.62,45693,31710,2056
What award did the author of The Red Tree receive?,Unknown,Academy Award for Best Animated Short Film,0.0,0.0,77.40,46662,31534,2134
Where was Tyler MacDuff's child educated?,Blair International Baccalaureate School in Pasadena,Blair High School,0.0,0.4444444444444444,55.08,37966,28088,2980
Who is the spouse of the Rabbit Hole's producer?,Keith Urban,Keith Urban,1.0,1.0,107.26,64314,43170,3306
Who is the child of Sigrid Eskilsdotter's child?,King Gustav Vasa,Svante Stensson Sture,0.0,0.0,137.13,61311,32433,2904
In which county is Kimbrough Memorial Stadium located?,Randall County,Randall County,1.0,1.0,85.68,48857,31894,2137

Summary,,,,,,,,
Exact Match,,,0.3500,,,,,
F1 Score,,,0.5572,,,,,
Latency/Q (s),,,77.39,,,,,
Total Latency (s),,,1547.88,,,,,
Tokens/Q,,,48215,,,48215,33325,2558
Examples,,,20,,,,,
