Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,69.40,48379,34724,2906
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,United States,Chief of Protocol,0.0,0.0,58.87,36003,24901,2344
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,1.0,1.0,117.43,63271,39147,4816
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,Ortaköy neighborhood,no,0.0,0.0,54.04,33626,23617,2484
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",1.0,1.0,60.41,35873,24696,2485
2014 S/S is the debut album of a South Korean boy group that was formed by who?,Entertainment,YG Entertainment,0.0,0.6666666666666666,62.25,47609,36469,3459
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,93.10,56471,37943,4087
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677 seated",1.0,1.0,48.52,34655,25990,2569
"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,1.0,1.0,52.52,35077,24754,3197
Are Local H and For Against both from the United States?,no,yes,0.0,0.0,63.06,37320,24396,2788
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Kansas Song,1.0,1.0,34.98,32139,26073,2501
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Diamond and David Weissman,David Weissman,0.0,0.5714285714285715,85.86,54595,36476,3665
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,1.0,1.0,58.74,37097,26030,3270
Are Random House Tower and 888 7th Avenue both used for real estate?,yes,no,0.0,0.0,76.25,40547,25656,3259
The football manager who recruited David Beckham managed Manchester United during what timeframe?,From 1986 to 2013,from 1986 to 2013,1.0,1.0,59.23,36274,24982,2989
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984","9,984",1.0,1.0,81.08,52576,36710,3593
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,North Atlantic Conference,the North Atlantic Conference,1.0,1.0,61.20,37932,25843,2659
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,yes,1.0,1.0,68.35,38302,24972,3983
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,From 1969 until 1974,1969 until 1974,0.0,0.8571428571428571,60.61,37830,26206,2949
"Which writer was from England, Henry Roth or Robert Erskine Childers?",English-born,Robert Erskine Childers DSC,0.0,0.0,57.98,34198,23849,2854

Summary,,,,,,,,
Exact Match,,,0.6000,,,,,
F1 Score,,,0.7048,,,,,
Latency/Q (s),,,66.19,,,,,
Total Latency (s),,,1323.88,,,,,
Tokens/Q,,,41489,,,41489,28672,3143
Examples,,,20,,,,,
