Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Who is the spouse of the Green performer?,Miquette Giraudy,Miquette Giraudy,1.0,1.0,71.97,45504,32097,2406
Who founded the company that distributed the film UHF?,Orion Pictures,Mike Medavoy,0.0,0.0,74.82,46190,32493,2407
What administrative territorial entity is the owner of Ciudad Deportiva located?,Tamaulipas,Tamaulipas,1.0,1.0,219.01,112972,67622,5607
Where is Ulrich Walter's employer headquartered?,German Aerospace Center,Cologne,0.0,0.0,52.49,41198,31318,2240
Which company owns the manufacturer of Learjet 60?,Bombardier Aerospace,Bombardier Inc.,0.0,0.5,70.79,45162,31578,2239

Summary,,,,,,,,
Exact Match,,,0.4000,,,,,
F1 Score,,,0.5000,,,,,
Latency/Q (s),,,97.82,,,,,
Total Latency (s),,,489.08,,,,,
Tokens/Q,,,58205,,,58205,39022,2980
Examples,,,5,,,,,
