Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Who is the spouse of the Green performer?,ERROR,Miquette Giraudy,0.0,0.0,0.00,0,0,0
Who founded the company that distributed the film UHF?,ERROR,Mike Medavoy,0.0,0.0,0.00,0,0,0
What administrative territorial entity is the owner of Ciudad Deportiva located?,ERROR,Tamaulipas,0.0,0.0,0.00,0,0,0
Where is Ulrich Walter's employer headquartered?,ERROR,Cologne,0.0,0.0,0.00,0,0,0
Which company owns the manufacturer of Learjet 60?,ERROR,Bombardier Inc.,0.0,0.0,0.00,0,0,0

Summary,,,,,,,,
Exact Match,,,0.0000,,,,,
F1 Score,,,0.0000,,,,,
Latency/Q (s),,,0.00,,,,,
Total Latency (s),,,0.00,,,,,
Tokens/Q,,,0,,,0,0,0
Examples,,,5,,,,,
