Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Who is the spouse of the Green performer?,Miquette Giraudy,Miquette Giraudy,1.0,1.0,66.77,42195,29823,2761
Who founded the company that distributed the film UHF?,Steven Spielberg,Mike Medavoy,0.0,0.0,111.52,71412,49252,3739
What administrative territorial entity is the owner of Ciudad Deportiva located?,Tamaulipas,Tamaulipas,1.0,1.0,90.58,48666,30085,3247
Where is Ulrich Walter's employer headquartered?,German Aerospace Center,Cologne,0.0,0.0,48.13,29370,20838,1610
Which company owns the manufacturer of Learjet 60?,Bombardier Inc,Bombardier Inc.,1.0,1.0,59.06,33167,21508,1655

Summary,,,,,,,,
Exact Match,,,0.6000,,,,,
F1 Score,,,0.6000,,,,,
Latency/Q (s),,,75.21,,,,,
Total Latency (s),,,376.06,,,,,
Tokens/Q,,,44962,,,44962,30301,2602
Examples,,,5,,,,,
