Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Who is the spouse of the Green performer?,Steve Hillage,Miquette Giraudy,0.0,0.0,62.11,42966,30746,2528
Who founded the company that distributed the film UHF?,Steven Spielberg,Mike Medavoy,0.0,0.0,145.73,78409,47419,3944
What administrative territorial entity is the owner of Ciudad Deportiva located?,Tamaulipas,Tamaulipas,1.0,1.0,198.15,103532,60089,5045
Where is Ulrich Walter's employer headquartered?,German Aerospace Center,Cologne,0.0,0.0,41.64,37999,30339,1989
Which company owns the manufacturer of Learjet 60?,Bombardier Inc,Bombardier Inc.,1.0,1.0,75.54,47156,31127,2163

Summary,,,,,,,,
Exact Match,,,0.4000,,,,,
F1 Score,,,0.4000,,,,,
Latency/Q (s),,,104.63,,,,,
Total Latency (s),,,523.16,,,,,
Tokens/Q,,,62012,,,62012,39944,3134
Examples,,,5,,,,,
