Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Were Scott Derrickson and Ed Wood of the same nationality?,no,yes,0.0,0.0,51.93,33091,22690,3340
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,United States ambassador to Ghana,Chief of Protocol,0.0,0.0,48.92,33365,23912,2868
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Yes,Animorphs,0.0,0.0,64.65,39255,26035,4309
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,62.31,34988,22345,2332
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",1.0,1.0,60.86,35785,23642,2761
2014 S/S is the debut album of a South Korean boy group that was formed by who?,Unknown,YG Entertainment,0.0,0.0,46.21,42988,34465,3445
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,"Helping organizations to improve their performance, operating primarily through",Eenasul Fateh,0.0,0.0,76.07,39953,24583,2860
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677 seated",1.0,1.0,66.67,37780,24687,2745
"Who is older, Annie Morton or Terry Richardson?",August,Terry Richardson,0.0,0.0,33.43,28845,23115,2549
Are Local H and For Against both from the United States?,no,yes,0.0,0.0,66.72,36119,22972,2748
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Kansas Song,1.0,1.0,45.17,33663,24942,2837
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Diamond and David Weissman,David Weissman,0.0,0.5714285714285715,85.76,52219,34736,4155
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,1.0,1.0,62.64,37247,24732,3321
Are Random House Tower and 888 7th Avenue both used for real estate?,no,no,1.0,1.0,56.53,35745,24771,3715
The football manager who recruited David Beckham managed Manchester United during what timeframe?,From 1986 to 2013,from 1986 to 2013,1.0,1.0,64.30,36996,23886,3374
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,Unknown,"9,984",0.0,0.0,34.49,29401,23513,2165
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,North Atlantic Conference,the North Atlantic Conference,1.0,1.0,59.51,36701,24577,2596
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,no,yes,0.0,0.0,55.66,34423,23488,3452
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,1969 until 1974,1.0,1.0,66.50,38309,24839,2913
"Which writer was from England, Henry Roth or Robert Erskine Childers?",English-born,Robert Erskine Childers DSC,0.0,0.0,42.66,30372,22576,2730

Summary,,,,,,,,
Exact Match,,,0.4500,,,,,
F1 Score,,,0.4786,,,,,
Latency/Q (s),,,57.55,,,,,
Total Latency (s),,,1150.98,,,,,
Tokens/Q,,,36362,,,36362,25025,3061
Examples,,,20,,,,,
