Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,107.68,51670,30931,4173
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,United States,Chief of Protocol,0.0,0.0,99.67,50700,31842,3732
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,1.0,1.0,95.43,53429,35437,7167
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,114.47,52168,31348,4239
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",1.0,1.0,92.56,47156,30699,2908
2014 S/S is the debut album of a South Korean boy group that was formed by who?,Entertainment,YG Entertainment,0.0,0.6666666666666666,94.30,48864,31678,3684
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,78.95,47377,33523,4355
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677 seated",1.0,1.0,79.01,47448,32644,3731
"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,1.0,1.0,100.60,50033,30915,3540
Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,115.09,52435,30771,3312
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Kansas Song,1.0,1.0,58.03,42751,32779,3483
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,David Weissman,1.0,1.0,78.14,46286,31778,3770
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,1.0,1.0,70.55,46228,33210,4569
Are Random House Tower and 888 7th Avenue both used for real estate?,yes,no,0.0,0.0,98.20,51495,32968,4984
The football manager who recruited David Beckham managed Manchester United during what timeframe?,From 1986 to 2013,from 1986 to 2013,1.0,1.0,67.05,43322,31319,3606
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,Unknown,"9,984",0.0,0.0,79.16,46468,31647,3328
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,The North Atlantic Conference,the North Atlantic Conference,1.0,1.0,87.12,48952,32762,3271
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,yes,1.0,1.0,92.88,49164,31097,5029
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,From 1969 until 1974,1969 until 1974,0.0,0.8571428571428571,67.19,45034,33050,3861
"Which writer was from England, Henry Roth or Robert Erskine Childers?",Erskine Childers,Robert Erskine Childers DSC,0.0,0.6666666666666666,72.06,43293,30024,3770

Summary,,,,,,,,
Exact Match,,,0.7000,,,,,
F1 Score,,,0.8095,,,,,
Latency/Q (s),,,87.41,,,,,
Total Latency (s),,,1748.17,,,,,
Tokens/Q,,,48214,,,48214,32021,4026
Examples,,,20,,,,,
