Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,83.43,41089,23825,2400
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol,1.0,1.0,54.73,35926,25105,2689
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,1.0,1.0,61.59,39402,26797,3213
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,Ortaköy neighborhood,no,0.0,0.0,40.76,31529,24046,2837
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",1.0,1.0,55.92,35825,24636,2203
2014 S/S is the debut album of a South Korean boy group that was formed by who?,Entertainment,YG Entertainment,0.0,0.6666666666666666,60.46,48623,36700,3715
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,55.62,37066,25876,2929
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677 seated",1.0,1.0,52.05,36206,25891,2432
"Who is older, Annie Morton or Terry Richardson?",August,Terry Richardson,0.0,0.0,35.39,30583,24303,2334
Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,63.27,36937,24329,2580
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Kansas Song,1.0,1.0,41.56,34123,26272,2783
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,David Weissman,1.0,1.0,88.25,34606,15575,2555
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,1.0,1.0,89.30,44672,25900,2945
Are Random House Tower and 888 7th Avenue both used for real estate?,no,no,1.0,1.0,91.95,45418,25696,3161
The football manager who recruited David Beckham managed Manchester United during what timeframe?,From 1986 to 2013,from 1986 to 2013,1.0,1.0,57.72,36713,25057,3250
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,The United States,"9,984",0.0,0.0,78.47,52759,36787,3647
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,North Atlantic Conference,the North Atlantic Conference,1.0,1.0,49.49,36055,25919,2660
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,yes,1.0,1.0,80.73,53712,36916,5745
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,1969 until 1974,1.0,1.0,57.77,38132,26317,3081
"Which writer was from England, Henry Roth or Robert Erskine Childers?",English-born,Robert Erskine Childers DSC,0.0,0.0,52.15,34407,24116,3140

Summary,,,,,,,,
Exact Match,,,0.7500,,,,,
F1 Score,,,0.7833,,,,,
Latency/Q (s),,,62.53,,,,,
Total Latency (s),,,1250.61,,,,,
Tokens/Q,,,39189,,,39189,26503,3015
Examples,,,20,,,,,
