Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
Who is the spouse of the Green performer?,Steve Hillage,Miquette Giraudy,0.0,0.0,45.66,38991,30385,2801
Who founded the company that distributed the film UHF?,Morris Mike Medavoy,Mike Medavoy,0.0,0.8,80.10,60173,43989,3096
What administrative territorial entity is the owner of Ciudad Deportiva located?,Tamaulipas,Tamaulipas,1.0,1.0,63.60,46743,34126,2455
Where is Ulrich Walter's employer headquartered?,German Aerospace Center,Cologne,0.0,0.0,42.75,29038,20989,1845
Which company owns the manufacturer of Learjet 60?,Bombardier Aerospace,Bombardier Inc.,0.0,0.5,49.86,30879,21439,1313

Summary,,,,,,,,
Exact Match,,,0.2000,,,,,
F1 Score,,,0.4600,,,,,
Latency/Q (s),,,56.39,,,,,
Total Latency (s),,,281.97,,,,,
Tokens/Q,,,41165,,,41165,30186,2302
Examples,,,5,,,,,
